id,height,width,x,y,bbox_width,bbox_height
70,781,821,444,183,361,106
19,710,470,484,45,184,47
48,982,1113,459,494,223,333
62,1060,843,493,307,220,352
60,869,760,434,419,112,242
46,876,579,210,392,49,348
6,1087,822,342,413,76,359
26,673,691,334,182,399,131
19,438,728,43,240,325,135
20,852,591,388,326,155,260
32,444,937,177,320,259,187
39,687,1003,365,487,364,223
22,340,412,93,165,99,67
53,382,946,209,230,366,85
35,373,699,95,257,231,143
11,977,739,419,330,326,289
64,375,659,85,452,130,144
0,784,780,197,244,340,347
23,551,778,319,413,286,141
50,687,558,254,73,110,311
22,263,579,17,150,191,95
68,492,798,28,346,307,279
13,573,643,132,190,277,358
30,410,568,111,66,271,134
9,415,737,70,336,125,154
64,394,613,23,129,296,93
42,661,949,401,340,344,103
78,931,241,317,47,77,397
62,744,723,342,173,236,104
40,474,640,285,399,92,82
10,416,989,13,229,384,119
72,543,821,172,189,294,311
13,1036,770,345,337,222,336
31,711,755,357,396,125,115
45,276,682,42,303,254,156
63,1034,905,474,426,400,246
1,743,707,462,122,237,128
27,819,701,114,226,236,338
67,243,308,38,136,50,75
56,850,420,291,283,72,368
76,998,862,362,459,142,398
28,445,290,30,62,41,348
61,553,933,63,490,370,263
68,606,963,260,376,286,163
39,614,1161,163,429,382,323
76,747,517,351,233,138,73
61,602,416,472,133,197,45
67,1170,599,468,68,280,349
7,642,758,201,270,359,314
69,564,412,144,62,265,210
54,1078,953,426,283,396,335
40,741,422,153,58,147,278
30,584,539,319,266,169,55
33,829,661,129,195,320,341
68,740,784,300,362,131,67
74,492,690,333,239,68,108
64,1168,850,478,346,373,333
12,379,783,154,118,360,84
17,862,755,416,395,157,264
65,831,799,85,236,214,349
12,948,656,302,154,161,335
32,781,900,155,299,294,285
29,858,602,463,259,134,144
16,852,825,195,396,111,356
26,743,565,342,332,83,124
50,879,467,424,65,133,203
60,472,453,67,164,148,306
79,816,513,494,333,140,194
21,884,623,429,186,275,89
68,420,835,22,380,337,330
63,489,573,137,117,354,215
61,576,874,213,300,257,165
55,1038,903,468,445,342,189
22,785,570,184,145,323,347
20,705,730,494,371,149,142
65,967,544,380,236,167,193
7,823,465,356,288,124,302
9,511,521,91,439,42,76
15,734,725,294,249,101,162
45,644,732,238,330,328,185
11,727,933,494,354,336,187
79,1044,1066,474,421,315,249
57,554,292,363,2,68,77
52,877,679,473,266,223,338
41,786,732,467,489,172,223
8,322,576,26,133,308,211
40,673,634,338,283,297,112
76,990,622,475,105,147,327
75,447,694,30,2,337,366
65,654,600,233,61,325,319
56,905,596,449,118,388,352
11,625,877,208,365,261,366
7,710,917,439,340,389,209
68,640,820,285,89,375,170
39,800,997,302,251,390,303
14,900,996,248,408,315,277
13,987,435,481,62,55,190
30,810,567,387,409,46,226
57,545,839,237,487,57,53
2,843,734,387,176,177,322
25,648,427,278,232,43,264
40,1062,1206,393,476,344,306
25,523,696,165,252,220,235
4,407,645,287,113,334,79
59,280,982,20,329,259,207
74,877,958,328,333,291,206
52,607,740,257,368,214,61
26,961,716,466,311,266,312
53,791,910,249,490,182,362
55,397,862,41,422,268,128
16,321,297,5,95,141,163
36,612,465,54,32,129,298
71,904,295,241,15,216,312
50,827,463,399,16,187,273
50,925,713,390,406,212,172
79,209,925,88,236,385,75
32,601,655,249,234,348,107
61,608,1074,115,493,284,111
30,830,1158,320,461,332,131
59,947,436,279,100,295,270
50,628,857,50,481,248,291
29,334,800,35,448,235,209
67,267,907,52,225,297,58
60,400,732,69,314,44,166
17,820,805,298,165,290,386
28,804,588,405,42,263,246
19,804,709,451,234,342,169
1,1145,198,482,64,77,263
11,538,763,78,104,355,298
67,812,684,392,3,349,45
23,536,817,282,448,111,146
58,648,805,182,188,288,166
27,682,761,453,486,197,46
20,774,722,389,406,45,140
66,652,982,227,301,360,264
67,709,727,391,392,153,115
6,797,673,443,121,370,125
76,566,603,400,142,140,95
57,1000,935,342,485,323,374
9,812,753,221,299,399,233
48,273,814,47,364,289,184
46,439,734,77,7,338,138
45,1116,647,493,199,374,289
76,929,912,296,251,378,330
5,886,1020,370,338,391,147
46,730,583,311,354,111,91
53,777,571,139,71,363,274
71,759,1064,429,462,217,121
45,740,1122,339,434,336,238
52,589,396,52,92,122,169
9,891,753,381,183,332,156
69,726,239,486,67,96,196
4,490,703,270,311,273,82
36,791,896,419,129,389,268
76,1025,433,341,134,105,356
37,498,301,12,48,174,372
57,581,751,203,452,113,106
11,916,791,451,408,201,296
69,686,735,269,330,184,165
53,593,809,52,255,388,179
18,192,634,8,181,330,93
48,562,884,272,346,163,141
57,417,524,190,219,81,102
50,724,840,99,456,306,351
36,599,625,198,372,100,204
28,773,779,271,295,266,200
7,260,1087,5,495,211,202
23,696,737,489,371,160,70
56,807,602,244,456,77,177
37,598,309,325,80,59,196
62,760,904,193,323,325,302
21,495,566,94,150,257,170
19,742,762,417,208,377,194
64,494,979,1,263,368,335
14,455,502,110,13,326,123
70,710,359,80,32,64,328
11,987,594,303,199,211,392
73,508,591,79,3,323,237
25,917,639,418,99,202,186
60,364,713,38,222,257,270
11,584,398,163,191,68,368
19,671,664,202,264,127,351
20,776,944,280,187,391,120
29,716,656,286,111,188,82
75,592,522,208,194,146,202
51,840,622,414,108,116,141
49,781,620,313,33,188,139
70,564,972,191,487,240,111
49,531,584,150,348,184,93
79,624,772,291,481,249,223
79,723,550,145,201,53,367
15,607,700,361,296,278,140
72,243,645,109,242,110,41
39,1026,894,419,176,368,218
65,569,808,61,307,226,267
59,956,727,178,315,142,385
39,1097,488,493,246,116,394
18,831,585,401,97,234,228
64,985,777,380,274,318,363
55,734,682,145,266,163,309
19,969,986,459,453,283,312
79,626,928,166,500,130,236
52,672,509,104,204,129,384
9,740,1046,183,498,165,288
13,761,775,440,292,179,184
33,1066,454,334,128,263,351
23,1030,746,338,433,137,322
68,718,850,52,337,312,286
33,1138,1021,428,428,388,362
5,1064,878,484,491,264,251
54,543,285,116,19,75,167
76,513,544,264,42,264,209
56,1023,420,387,77,300,273
16,675,643,207,10,248,103
69,433,871,79,456,140,172
16,807,646,403,68,349,90
23,515,816,180,425,347,75
38,1136,803,430,457,251,349
51,848,798,308,67,357,153
23,468,1125,31,487,344,107
22,851,896,330,406,201,146
27,400,860,74,279,246,264
3,606,628,217,135,131,128
11,660,1001,404,434,341,104
37,693,549,222,181,178,287
63,554,1129,266,432,326,62
54,756,262,90,23,54,368
47,430,757,26,375,250,154
8,806,905,91,247,377,377
52,747,635,375,306,85,124
35,849,391,173,147,120,387
5,465,958,167,308,358,117
64,583,677,213,221,279,152
54,733,474,391,79,323,180
55,771,633,228,426,107,328
21,644,611,268,204,134,231
74,520,1207,202,496,375,186
66,696,422,226,155,79,203
65,439,1144,52,436,354,124
68,687,575,311,108,377,137
42,418,227,204,67,95,135
78,652,432,272,305,44,309
17,754,848,259,323,169,247
78,578,630,67,272,88,331
44,675,583,26,40,348,296
60,571,720,182,276,107,262
47,891,599,458,142,190,371
71,644,604,293,104,204,42
26,895,642,424,450,115,261
64,479,687,95,362,281,141
22,561,675,77,152,318,174
77,802,1018,331,464,192,93
11,375,610,273,272,54,54
52,757,755,215,356,218,216
51,781,735,207,244,126,312
33,617,789,267,481,221,275
40,752,590,350,171,306,322
44,583,770,417,318,105,125
25,725,187,174,78,66,320
37,497,928,195,156,391,66
6,539,976,208,271,368,244
13,496,748,283,295,216,86
26,413,618,27,175,156,60
74,797,996,368,405,272,105
5,693,693,419,467,131,137
57,935,799,276,431,215,304
14,634,496,211,131,158,194
77,778,252,468,43,84,189
68,1129,667,496,64,203,362
16,352,715,0,381,116,285
3,936,996,438,351,369,345
12,770,1066,455,464,223,203
2,865,663,376,282,279,269
57,553,489,336,43,180,47
46,695,330,171,120,135,354
63,791,700,466,298,282,118
7,711,977,194,451,235,170
15,591,887,37,356,191,358
62,427,367,140,118,47,95
39,877,1172,475,442,390,70
59,1080,651,355,47,247,389
26,405,819,218,293,276,136
57,819,754,481,413,222,236
42,830,518,476,123,88,286
56,427,553,117,11,378,252
79,722,676,487,233,154,186
34,758,840,388,295,281,207
14,587,423,231,61,151,143
61,678,701,444,122,399,187
21,979,511,379,9,270,399
67,858,884,137,302,343,391
77,667,745,181,366,280,193
69,968,381,318,74,44,363
59,508,828,90,287,357,130
77,679,852,394,80,389,218
32,923,888,461,426,338,381
47,686,671,90,240,284,216
1,1004,816,433,330,246,270
73,778,725,463,316,300,231
54,638,1057,21,497,160,252
16,643,889,152,495,232,251
17,983,1101,316,325,382,360
39,439,492,6,247,194,340
29,895,633,255,7,311,285
26,846,821,329,378,210,165
12,522,611,17,165,351,366
69,523,759,269,422,239,171
46,481,1021,91,372,271,228
42,673,393,455,260,58,102
50,995,1075,423,421,259,344
75,601,410,463,142,94,82
59,928,602,484,199,191,272
13,673,511,445,132,209,70
35,878,791,372,296,391,363
69,765,815,318,243,213,153
60,537,790,287,328,206,55
66,475,403,4,52,310,395
71,906,908,255,460,239,358
5,656,656,175,163,305,302
7,390,930,6,500,62,156
10,1044,643,315,273,328,331
56,798,1155,438,475,317,100
54,639,885,93,486,297,386
61,481,803,51,290,328,239
32,496,410,74,4,314,344
54,353,731,149,440,189,56
46,377,640,158,485,63,133
37,398,633,72,112,292,249
38,549,743,285,302,152,91
19,636,399,450,70,179,92
8,479,931,32,446,267,80
76,758,372,197,181,46,209
42,510,482,4,39,155,285
3,765,343,456,113,142,95
1,522,778,257,451,167,107
70,790,1020,452,281,383,289
67,424,772,57,452,255,127
2,699,537,43,385,41,274
78,901,403,483,42,90,166
40,1072,445,384,69,218,325
65,684,738,320,296,150,131
9,782,677,298,170,359,242
42,387,413,48,161,53,216
39,920,798,452,374,325,97
68,622,724,227,185,395,255
24,512,722,105,409,83,188
19,684,645,273,497,80,207
36,1112,563,486,88,320,305
14,366,723,100,258,388,193
36,779,756,325,297,83,127
40,767,939,345,410,205,106
70,592,788,95,317,223,220
71,619,755,168,398,228,99
9,518,584,147,425,85,331
11,876,927,425,354,335,363
50,771,1027,194,316,311,309
17,743,895,373,345,369,256
65,923,438,329,63,42,226
1,724,698,389,264,186,45
42,874,708,388,115,203,166
12,470,486,168,119,68,254
70,566,882,171,449,169,119
36,703,815,132,215,284,231
35,647,798,322,402,191,166
26,755,1023,464,343,297,132
42,467,558,245,220,90,40
24,1129,869,448,185,375,305
32,786,801,179,320,154,224
32,728,411,267,166,53,266
13,470,830,73,180,363,318
27,682,592,296,138,330,186
1,1045,806,398,375,102,268
68,944,533,358,171,262,314
68,438,515,133,111,130,249
63,795,631,126,229,58,301
33,702,625,306,435,41,349
56,1049,580,426,310,139,364
12,722,620,283,211,319,146
25,881,600,491,301,70,128
59,576,644,291,173,339,161
2,914,519,241,118,127,330
55,776,517,423,27,223,202
41,1109,782,366,488,123,378
1,492,724,274,366,167,104
24,803,411,263,147,163,296
44,879,955,445,391,179,337
19,1118,751,386,155,341,350
56,609,488,193,75,293,332
55,221,582,17,300,155,119
70,707,794,276,461,248,266
62,661,474,206,38,314,170
19,815,653,413,153,142,179
41,546,765,212,477,60,245
64,804,758,95,365,130,380
41,894,921,266,418,129,321
25,660,921,437,326,215,169
72,807,790,229,200,313,393
63,636,772,85,343,274,174
31,259,693,3,338,184,210
73,482,646,10,355,82,281
71,376,865,94,147,388,218
1,922,844,385,433,187,326
64,1095,705,419,359,97,303
8,797,1043,246,385,324,292
73,1048,964,434,327,269,269
63,675,1163,222,460,365,202
2,985,684,456,59,385,200
73,528,325,103,47,81,224
33,509,637,212,413,153,181
72,605,950,42,485,91,249
72,686,1060,277,492,357,325
37,489,805,139,349,220,244
18,606,809,198,77,372,232
13,634,732,296,387,85,122
34,753,387,373,67,264,47
59,572,525,205,79,232,289
32,461,510,200,4,231,59
43,843,1006,399,421,312,348
57,889,667,338,387,76,158
3,672,658,328,215,191,287
51,555,424,25,89,40,229
18,805,1009,296,394,217,389
27,641,642,276,281,131,162
45,796,971,368,300,305,265
19,328,631,3,226,172,234
72,924,441,399,59,263,378
28,648,913,498,449,78,54
65,517,889,81,285,318,275
35,231,892,123,439,147,45
62,607,736,124,398,282,344
51,508,942,39,351,370,89
57,658,480,129,122,73,293
16,973,166,456,10,96,387
33,495,665,177,189,311,129
66,680,646,77,130,343,312
3,410,539,158,144,234,204
24,533,641,76,198,254,254
31,696,865,134,168,328,227
5,781,480,395,191,178,59
26,974,1042,482,421,324,220
2,334,591,77,5,362,49
74,815,321,386,13,245,188
78,1003,574,424,178,232,320
76,523,817,26,245,322,269
37,560,930,80,475,341,250
64,776,846,439,125,387,177
13,574,885,253,494,187,65
22,927,874,169,359,310,384
76,1017,685,332,378,54,317
76,427,937,73,405,271,182
27,826,799,101,132,373,365
29,671,644,202,291,159,168
11,277,594,55,182,224,109
54,680,640,364,171,131,276
60,718,589,440,47,384,111
3,820,792,201,392,137,383
29,520,420,194,150,143,175
4,303,798,82,465,241,65
24,708,871,332,429,152,208
3,788,739,200,204,228,356
39,320,1046,44,427,364,117
32,488,637,43,139,235,75
70,450,676,19,241,297,44
68,855,676,129,307,73,357
27,359,695,23,7,288,45
43,712,475,2,47,133,376
71,866,744,433,64,392,41
22,395,693,173,102,364,107
30,871,1169,462,499,315,176
52,924,634,282,81,213,389
72,612,639,75,290,245,273
24,495,583,236,280,42,70
47,460,543,347,138,357,65
9,938,764,383,500,178,348
48,558,977,154,432,277,162
73,891,724,478,341,50,330
59,978,430,349,115,154,325
0,783,702,446,193,205,184
41,595,992,363,360,362,145
28,669,395,429,68,124,160
64,541,626,298,306,150,121
11,332,578,19,25,241,98
36,635,475,440,37,100,144
8,1169,926,492,292,336,396
46,588,529,457,145,227,91
60,609,716,255,366,207,216
40,841,766,452,345,316,182
30,702,339,233,70,85,274
16,473,833,61,456,270,128
24,504,559,249,186,278,177
16,633,963,234,457,165,121
12,743,319,173,148,64,354
40,628,783,52,207,397,238
54,983,839,471,414,71,275
58,136,644,27,232,234,46
54,928,644,437,114,395,106
68,565,1049,319,300,352,197
19,631,486,318,168,193,184
12,590,1099,125,487,356,102
42,717,538,448,195,61,142
51,529,294,29,141,101,125
35,363,423,118,211,94,66
58,601,296,219,72,163,80
43,766,895,27,469,50,394
12,735,802,300,456,294,88
23,457,342,17,104,41,390
13,654,454,206,96,293,128
58,500,584,142,82,201,122
15,738,998,464,470,219,195
1,815,461,491,45,272,152
50,692,807,368,217,196,274
75,736,550,209,172,319,310
30,755,678,184,300,150,288
24,1035,835,399,335,152,307
63,786,846,164,397,71,231
51,825,691,319,277,326,154
76,907,707,445,118,277,92
3,630,319,304,153,40,172
39,979,665,357,109,221,351
20,671,840,419,434,179,61
27,643,708,203,391,187,319
25,455,475,1,112,131,139
53,980,839,260,483,226,322
48,947,821,475,500,197,265
59,799,642,75,257,140,324
15,449,644,21,20,360,333
24,282,299,175,31,154,49
61,851,1051,357,455,329,244
40,538,872,440,362,192,58
40,636,669,170,416,113,302
33,753,177,445,95,40,225
18,780,499,196,52,252,308
18,724,675,222,271,249,285
79,1166,745,458,140,394,315
5,505,623,67,349,168,237
57,522,464,206,166,258,90
77,865,597,432,372,86,202
52,605,556,142,124,144,83
72,216,496,22,229,213,148
67,108,537,11,116,344,50
79,877,990,154,490,337,399
39,821,348,424,78,227,315
64,709,724,205,399,132,152
18,414,1139,313,485,397,53
38,935,975,311,300,360,271
11,709,764,217,448,179,199
40,683,872,364,383,180,209
69,559,550,258,156,211,147
38,915,930,404,421,262,292
70,1032,888,291,282,215,377
39,1036,828,485,318,139,224
28,634,706,244,331,159,222
7,683,855,354,491,264,193
6,1020,844,463,139,357,387
57,817,775,323,311,247,202
60,776,643,451,262,115,210
31,671,849,242,367,186,192
73,1011,917,467,217,318,366
7,677,358,128,213,71,192
78,490,427,245,266,89,186
11,901,1115,407,498,385,95
17,914,636,497,116,235,219
21,602,639,120,242,93,185
14,711,632,255,332,176,380
50,822,832,348,437,292,208
59,773,432,420,49,294,176
21,978,688,444,197,249,353
48,969,537,268,240,197,328
0,828,695,327,381,121,179
56,424,699,65,273,91,232
49,515,654,83,162,374,45
40,808,657,267,158,261,264
55,662,578,314,59,348,140
32,357,666,3,190,288,175
39,611,1048,181,474,218,164
71,921,712,350,51,352,244
26,495,499,143,264,154,178
59,598,990,202,374,270,197
38,568,951,264,379,250,219
75,1177,619,453,74,207,395
28,687,790,313,275,218,88
22,813,815,444,155,383,219
50,654,371,72,226,73,398
54,504,593,236,266,45,208
77,515,796,327,441,212,101
68,655,464,431,33,46,91
52,432,746,81,222,271,100
59,623,894,230,485,274,241
77,778,733,340,153,349,351
7,414,890,13,337,254,307
7,765,712,257,236,96,379
73,515,1036,305,453,328,135
72,569,889,137,496,259,131
15,327,892,58,447,101,61
40,495,1067,242,339,372,120
32,678,908,269,176,335,275
43,462,942,70,374,278,345
24,701,761,3,374,188,300
16,808,701,436,262,48,297
46,859,805,435,217,360,324
48,430,803,169,486,276,123
21,659,367,265,111,171,82
51,754,489,350,190,81,229
60,763,998,243,479,395,148
52,423,456,18,62,145,277
8,769,868,246,462,130,159
46,656,918,179,329,217,279
44,311,491,99,152,222,71
64,913,640,324,381,75,351
57,475,653,287,462,108,87
67,593,1044,204,459,236,222
26,1038,594,376,440,56,285
69,978,698,299,161,179,398
5,461,452,79,55,337,101
20,442,613,8,223,299,293
9,242,603,108,439,77,42
52,321,620,81,73,296,173
27,817,579,148,409,63,381
14,806,453,445,229,154,239
44,813,451,256,314,66,231
72,894,382,398,191,80,346
40,614,326,231,37,121,161
13,920,361,419,89,231,303
36,514,1029,14,454,292,351
46,204,594,41,404,44,44
34,624,774,495,448,274,52
65,630,771,302,392,195,202
28,551,468,3,293,121,151
9,361,935,19,425,303,62
66,493,445,278,75,270,160
18,816,657,202,176,306,239
20,783,1120,353,382,382,64
39,752,568,366,252,90,115
63,788,664,226,82,311,229
8,890,698,344,384,231,311
46,254,608,26,18,222,62
69,743,496,174,77,129,279
54,670,1039,403,469,372,120
69,345,840,2,370,164,121
46,1182,890,495,433,104,346
2,930,836,338,402,55,314
43,670,1035,236,476,256,327
65,427,965,246,474,166,90
5,549,646,199,64,309,157
52,642,662,307,292,121,274
27,713,761,353,477,69,148
0,529,892,208,320,325,55
21,297,1093,24,400,388,196
78,991,987,414,483,122,377
15,533,941,204,332,242,84
57,559,665,220,446,73,106
25,1045,496,440,170,206,222
35,787,687,391,271,60,92
75,743,865,81,171,338,360
61,819,690,357,53,256,280
51,625,736,166,433,49,155
23,519,737,248,421,214,208
45,154,811,1,160,275,59
57,674,673,364,154,128,43
23,819,564,286,166,231,227
33,185,505,35,73,144,68
41,386,635,210,48,287,47
28,609,376,412,107,51,75
34,884,602,426,1,203,230
0,948,960,307,487,126,316
0,714,695,395,186,205,206
32,1054,362,344,28,250,332
34,691,558,175,127,331,288
70,708,580,288,201,328,320
44,325,504,64,213,195,93
69,719,794,343,349,292,213
0,821,801,235,156,247,386
8,754,577,294,108,246,341
21,778,518,379,298,144,194
60,636,623,406,274,171,133
20,649,682,292,436,86,92
25,633,727,410,216,362,99
5,414,452,150,95,305,77
12,628,519,109,259,102,378
34,869,606,493,342,41,125
30,645,945,274,268,395,299
47,526,452,55,54,279,213
5,694,842,365,94,396,91
76,783,372,445,46,158,135
63,545,783,76,281,273,210
76,772,539,85,279,166,392
61,672,244,231,91,53,380
67,645,683,45,99,261,270
33,1018,921,452,428,200,215
59,565,807,138,385,220,320
54,1035,732,357,411,254,355
70,520,887,64,386,112,343
3,319,404,27,115,55,252
28,685,470,103,148,107,272
60,968,1126,300,429,392,372
20,573,460,268,170,229,56
41,505,578,239,50,160,68
49,582,915,276,266,252,131
75,611,744,213,186,171,291
72,268,1052,60,427,246,66
8,753,1007,357,494,309,217
30,650,418,382,185,90,58
68,547,1003,365,320,333,62
66,723,589,16,86,165,400
15,820,768,341,394,144,220
25,1034,537,488,250,110,364
30,495,559,3,56,237,281
72,735,745,355,112,351,232
17,817,335,227,44,234,190
6,509,626,88,360,221,252
13,666,815,289,248,245,249
76,901,261,377,6,131,129
30,366,604,211,403,77,102
28,678,1122,175,371,360,246
18,933,556,383,123,197,328
79,672,953,91,440,343,295
34,911,929,451,219,327,284
62,414,561,118,219,146,62
46,1013,939,267,368,398,356
4,612,627,227,146,262,196
54,990,364,385,133,86,217
39,545,782,259,75,390,83
49,1110,882,494,384,338,374
15,549,592,99,108,195,326
9,911,978,466,440,220,129
21,402,901,173,345,376,91
33,594,248,351,23,85,162
56,821,626,281,286,150,318
16,985,857,276,277,358,346
41,774,653,134,436,58,281
7,561,868,344,385,288,102
57,779,762,337,298,325,329
23,788,559,395,46,280,262
6,770,483,428,43,380,157
3,1098,784,427,219,340,305
39,873,1012,395,487,354,354
59,841,1034,195,475,324,281
55,761,593,262,42,285,151
32,561,493,154,328,60,75
72,552,441,160,241,47,110
43,896,472,482,302,113,209
13,754,801,154,203,312,294
45,625,548,216,321,178,199
66,234,486,41,223,113,66
41,745,512,434,226,131,129
78,657,202,332,97,65,268
42,764,777,328,466,195,351
49,794,616,392,397,107,242
64,713,638,332,323,240,99
51,600,799,315,407,303,104
51,502,782,37,390,223,393
47,1022,799,494,317,182,375
52,813,804,418,349,223,188
8,783,780,64,346,154,321
38,648,426,312,264,80,59
61,751,432,272,134,242,82
35,888,989,493,453,286,101
24,821,1183,241,495,377,340
9,428,633,112,197,223,238
15,873,750,358,148,369,285
79,253,633,23,39,374,150
79,801,571,336,114,281,386
39,907,921,239,428,158,386
71,583,790,35,499,132,395
22,786,681,73,184,105,341
19,570,766,165,428,181,273
14,917,367,416,64,167,254
47,976,576,268,256,141,371
5,1049,892,309,230,300,341
25,908,766,450,350,298,267
25,605,138,364,2,64,195
23,962,587,436,206,270,236
47,369,985,172,407,270,102
43,825,802,461,385,304,313
77,717,817,123,320,338,236
33,803,767,117,65,362,315
34,464,266,6,60,141,230
16,1184,694,483,175,257,319
79,835,878,449,409,370,278
6,498,360,204,193,110,161
14,534,810,62,330,223,253
11,749,769,118,188,231,370
76,869,456,364,269,106,143
70,800,549,387,100,281,105
28,821,651,279,386,217,360
4,735,411,286,107,247,390
21,707,732,348,370,182,222
3,346,644,29,121,317,150
79,561,486,164,108,77,284
19,477,741,57,251,313,371
52,362,795,121,232,352,46
43,738,579,214,178,271,174
61,941,873,335,421,339,219
27,536,493,312,201,228,112
35,575,730,207,337,241,87
21,507,816,288,399,147,158
1,799,644,495,279,220,221
56,417,765,53,392,66,66
22,511,505,220,287,119,223
76,872,791,491,177,303,144
9,725,537,153,163,79,190
54,701,393,89,13,143,246
30,715,777,269,121,345,104
66,772,972,361,396,225,161
30,637,512,377,270,191,61
38,440,1192,129,458,388,58
33,1148,524,497,9,143,384
43,911,663,391,139,129,302
12,644,786,168,454,68,275
48,851,941,299,408,367,189
74,895,567,446,98,194,288
17,484,532,14,137,113,229
58,964,805,350,361,194,322
5,783,984,437,339,369,272
2,1013,274,346,117,80,374
50,771,675,380,46,370,247
11,846,453,409,83,166,313
65,981,730,488,335,73,194
10,1016,1008,425,428,256,216
2,856,1112,440,413,398,170
41,584,823,312,81,394,141
27,686,515,243,87,69,144
20,696,212,471,58,87,78
14,514,590,338,269,199,83
71,848,215,191,26,147,332
56,619,837,137,366,241,340
58,787,1058,189,412,367,327
12,602,931,162,348,324,209
63,682,606,83,198,108,296
32,690,687,275,462,132,184
51,821,731,311,182,243,336
61,585,1056,101,300,376,233
38,538,913,127,484,364,160
58,762,806,379,364,58,296
78,959,359,485,196,71,116
58,698,282,191,98,138,247
35,465,471,178,23,141,198
19,916,959,299,354,396,334
79,719,1073,205,308,375,239
65,1076,1035,321,496,279,372
59,881,691,269,49,297,381
52,895,796,316,313,100,392
64,619,835,362,160,399,179
26,777,654,346,489,101,57
77,863,824,219,425,107,372
23,1186,522,439,182,99,390
3,528,463,8,62,56,379
14,460,537,171,205,47,239
74,995,1019,424,452,191,307
67,1103,907,498,451,155,279
65,390,944,71,476,70,48
11,824,867,386,499,83,331
45,523,446,32,49,299,376
32,802,826,365,454,230,237
24,932,503,491,48,99,386
43,264,817,69,262,263,100
68,621,810,205,411,259,305
11,834,775,250,468,198,216
43,849,596,206,421,103,399
27,756,478,142,158,172,240
60,613,687,109,380,118,251
42,523,757,88,322,317,304
10,730,865,465,494,81,143
13,626,1165,191,445,373,214
56,607,869,93,322,326,348
78,898,666,166,166,134,352
12,753,537,92,178,217,304
55,362,476,13,22,280,268
68,714,846,214,372,297,319
19,740,363,261,107,140,166
51,480,740,241,151,243,51
14,560,573,182,161,346,134
11,674,590,341,77,332,158
63,763,516,206,101,148,334
29,340,957,91,456,133,111
19,812,241,287,17,58,395
29,584,622,94,56,370,389
8,723,797,466,339,287,209
13,532,1019,87,385,336,166
10,731,581,111,199,104,255
42,576,741,225,452,49,192
65,1058,743,463,337,349,205
27,256,712,71,400,166,60
35,869,380,376,92,187,390
50,857,486,302,112,257,226
4,391,693,126,48,304,144
23,372,1030,55,445,310,270
58,733,565,307,37,329,137
24,687,439,251,131,85,366
71,657,472,283,99,274,57
60,975,897,437,409,294,358
